baseline,query_type,mean,std,n
FLASH_FUSION_CACHE,Direct,1.5667107585403655,0.9776447005970514,9
FLASH_FUSION_CACHE_HIT,Direct,1.347438394680816,0.9620427442969736,9
FLASH_FUSION_CACHE_MISS,Direct,4.247220834096273,0.05998867720571723,2
AUTOIOT_PAPER,Direct,108.91096345701337,16.3841756507109,9
REACT_ONLY,Direct,11.174408629536629,6.29466325408772,9
FLASH_FUSION_CACHE,Reasoning,3.135040670633316,1.440561628507711,9
FLASH_FUSION_CACHE_HIT,Reasoning,2.090627899767978,1.250993357505508,9
FLASH_FUSION_CACHE_MISS,Reasoning,10.51522871851921,3.8696465786866,4
AUTOIOT_PAPER,Reasoning,166.98265946949797,24.985932676943406,9
REACT_ONLY,Reasoning,13.114990580413076,7.794887948977718,9
FLASH_FUSION_CACHE,Predictive,7.605085303386052,8.138249883996657,9
FLASH_FUSION_CACHE_HIT,Predictive,7.509341561718391,8.088681797685204,9
AUTOIOT_PAPER,Predictive,273.5604209930785,72.23190452400068,9
REACT_ONLY,Predictive,63.16304066280524,59.73096976556582,9
FLASH_FUSION_CACHE,Out-of-Scope,1.650468995173772,1.0334787841898951,9
FLASH_FUSION_CACHE_HIT,Out-of-Scope,1.2378517463803291,0.7751090881424213,9
AUTOIOT_PAPER,Out-of-Scope,250.76486302508667,113.74991375975394,9
REACT_ONLY,Out-of-Scope,4.260200396180153,3.5365406552469527,9
FLASH_FUSION_CACHE,Extra-Hard,9.374481471048462,0.912097178513654,9
FLASH_FUSION_CACHE_MISS,Extra-Hard,9.374481471048462,0.912097178513654,9
REACT_ONLY,Extra-Hard,13.931558122237524,4.088327234990403,9
