baseline,query_type,mean,std,n
FLASH_FUSION_CACHE,Direct,13.960458333332987,19.991833024484016,9
FLASH_FUSION_CACHE_HIT,Direct,4.77283920940171,0.13812537674800834,9
FLASH_FUSION_CACHE_MISS,Direct,208.66859999999332,148.33572918646877,2
AUTOIOT_PAPER,Direct,460.64007638888535,98.9620056924133,9
REACT_ONLY,Direct,53.65641666666667,13.40285303106558,9
HARGPT_PAPER,Direct,3566.6160027777746,1721.37494212007,9
LLMSENSE_PAPER,Direct,3566.6160027777746,1721.37494212007,9
FLASH_FUSION_CACHE,Reasoning,48.64047916666597,54.66888700249654,9
FLASH_FUSION_CACHE_HIT,Reasoning,7.365572089947089,1.0742516084469311,9
FLASH_FUSION_CACHE_MISS,Reasoning,467.0532499999937,239.36054119414132,4
AUTOIOT_PAPER,Reasoning,627.625407407405,118.63072413934722,9
REACT_ONLY,Reasoning,91.855725,15.970159081182665,9
HARGPT_PAPER,Reasoning,3699.6480597222185,1595.8056675785956,9
LLMSENSE_PAPER,Reasoning,3699.6480597222185,1595.8056675785956,9
FLASH_FUSION_CACHE,Predictive,3.663888888888889,3.1395028899918787,9
FLASH_FUSION_CACHE_HIT,Predictive,3.663888888888889,3.1395028899918787,9
AUTOIOT_PAPER,Predictive,754.2140717592565,65.53983511508487,9
REACT_ONLY,Predictive,227.700958333333,79.63640243536135,9
FLASH_FUSION_CACHE,Out-of-Scope,2.2078125,0.5441410231961931,9
FLASH_FUSION_CACHE_HIT,Out-of-Scope,2.2078125,0.5441410231961931,9
AUTOIOT_PAPER,Out-of-Scope,760.7643796296265,191.67868058499877,9
REACT_ONLY,Out-of-Scope,53.677000000000014,10.995831934739236,9
HARGPT_PAPER,Out-of-Scope,3886.558836111109,1478.2693519172653,9
LLMSENSE_PAPER,Out-of-Scope,3886.558836111109,1478.2693519172653,9
FLASH_FUSION_CACHE,Extra-Hard,334.6720229166658,78.00355120134843,9
FLASH_FUSION_CACHE_MISS,Extra-Hard,334.6720229166658,78.00355120134843,9
REACT_ONLY,Extra-Hard,117.51989166666654,36.54947934431622,9
