baseline,dataset,mean,std,n_runs
FLASH_FUSION_CACHE,bus,74.94329916666645,28.175178793108486,3
FLASH_FUSION_CACHE_HIT,bus,5.46232190860215,0.5559749971610116,3
FLASH_FUSION_CACHE_MISS,bus,333.85669629629524,110.17237743072909,3
AUTOIOT_PAPER,bus,731.3342690972194,21.40869085479622,3
REACT_ONLY,bus,83.23672499999999,20.52407947509888,3
HARGPT_PAPER,bus,3012.158124999997,0.5058265542516472,3
LLMSENSE_PAPER,bus,3012.158124999997,0.5058265542516472,3
FLASH_FUSION_CACHE,wisdm,88.31456416666583,24.844416685641516,3
FLASH_FUSION_CACHE_HIT,wisdm,4.206156641604011,0.4776724684798265,3
FLASH_FUSION_CACHE_MISS,wisdm,301.4845795169052,65.56011428249829,3
AUTOIOT_PAPER,wisdm,657.8012482638857,38.07933698386153,3
REACT_ONLY,wisdm,118.33561999999992,9.270281634815497,3
HARGPT_PAPER,wisdm,2333.185568055553,65.99987518656185,3
LLMSENSE_PAPER,wisdm,2333.185568055553,65.99987518656185,3
FLASH_FUSION_CACHE,ecg,78.62893374999992,0.8275480119899251,3
FLASH_FUSION_CACHE_HIT,ecg,3.6740625000000002,0.005962120008855772,3
FLASH_FUSION_CACHE_MISS,ecg,378.4484187499996,4.156529472629425,3
AUTOIOT_PAPER,ecg,563.2974340277752,36.21180281366972,3
REACT_ONLY,ecg,125.07364999999979,12.042824621255003,3
HARGPT_PAPER,ecg,5807.479205555553,97.50478387195025,3
LLMSENSE_PAPER,ecg,5807.479205555553,97.50478387195025,3
