dataset,query_type,baseline,accuracy,latency_s,input_tokens,output_tokens,total_tokens,cost_usd,executed_rate,rejected_rate,n
bus,direct,FF_NO_PLANNING,1.0,1.8769042094548543,9237.75,76.75,9314.5,0.0012255866666666666,1.0,0.0,12
bus,direct,FF_NO_PRUNING,1.0,4.441401203473409,9548.083333333334,83.16666666666667,9631.25,0.001076655,1.0,0.0,12
bus,oos,FF_NO_PLANNING,0.75,5.547556433412764,9620.527777777777,254.0,9874.527777777777,0.0012327604166666583,0.6666666666666666,0.3333333333333333,36
bus,oos,FF_NO_PRUNING,0.8611111111111112,8.071741971704695,9701.555555555555,216.52777777777777,9918.083333333334,0.0011910476111111083,0.6666666666666666,0.3333333333333333,36
bus,reasoning,FF_NO_PLANNING,1.0,7.38329803943634,9248.5,131.33333333333334,9379.833333333334,0.0011816166666666667,1.0,0.0,12
bus,reasoning,FF_NO_PRUNING,1.0,6.335472802321116,9549.333333333334,127.0,9676.333333333334,0.0012441116666666665,1.0,0.0,12
mit_ecg,direct,FF_NO_PLANNING,1.0,2.65582537651062,8746.0,86.66666666666667,8832.666666666666,0.0024334783333333334,1.0,0.0,12
mit_ecg,direct,FF_NO_PRUNING,1.0,4.617073794205983,9060.666666666666,89.33333333333333,9150.0,0.0014905128333333332,1.0,0.0,12
mit_ecg,oos,FF_NO_PLANNING,0.9722222222222222,5.878048784202999,8805.361111111111,172.41666666666666,8977.777777777777,0.0010584976388888889,0.6666666666666666,0.3333333333333333,36
mit_ecg,oos,FF_NO_PRUNING,1.0,8.48910927772522,9092.5,185.36111111111111,9277.861111111111,0.001143035,0.6666666666666666,0.3333333333333333,36
mit_ecg,reasoning,FF_NO_PLANNING,0.6666666666666666,65.69248702128728,8934.083333333334,1560.0,10494.083333333334,0.0017161383333333332,0.9166666666666666,0.08333333333333333,12
mit_ecg,reasoning,FF_NO_PRUNING,1.0,7.261942028999329,9032.333333333334,157.66666666666666,9190.0,0.0013732770833333333,1.0,0.0,12
wisdm,direct,FF_NO_PLANNING,1.0,3.6221713622411094,8770.0,85.75,8855.75,0.0009332566666666583,1.0,0.0,12
wisdm,direct,FF_NO_PRUNING,0.9166666666666666,2.4627654751141868,9040.833333333334,85.75,9126.583333333334,0.0010754449999999915,0.9166666666666666,0.08333333333333333,12
wisdm,oos,FF_NO_PLANNING,0.7777777777777778,8.541583332750532,8784.805555555555,200.69444444444446,8985.5,0.00104846425,0.6388888888888888,0.3611111111111111,36
wisdm,oos,FF_NO_PRUNING,0.8333333333333334,5.7105730639563665,9018.833333333334,163.55555555555554,9182.388888888889,0.0011290006944444445,0.6666666666666666,0.3333333333333333,36
wisdm,reasoning,FF_NO_PLANNING,1.0,6.079502046108246,8722.166666666666,202.0,8924.166666666666,0.0014247166666666667,1.0,0.0,12
wisdm,reasoning,FF_NO_PRUNING,1.0,10.790698647499084,8997.583333333334,209.58333333333334,9207.166666666666,0.0012557216666666665,1.0,0.0,12
