dataset,baseline,accuracy,latency_s,input_tokens,output_tokens,total_tokens,cost_usd,executed_rate,rejected_rate,n
bus,FF_NO_PLANNING,0.85,5.180574309825897,9469.566666666668,194.01666666666668,9663.583333333334,0.0012210969166666617,0.8,0.2,60
bus,FF_NO_PRUNING,0.9166666666666666,6.998419984181722,9640.416666666666,171.95,9812.366666666667,0.0011787818999999984,0.8,0.2,60
mit_ecg,FF_NO_PLANNING,0.9166666666666666,17.196491750081382,8819.233333333334,432.78333333333336,9252.016666666666,0.0014650219166666666,0.7833333333333333,0.21666666666666667,60
mit_ecg,FF_NO_PRUNING,1.0,7.469268731276194,9074.1,160.61666666666667,9234.716666666667,0.0012585789833333334,0.8,0.2,60
wisdm,FF_NO_PLANNING,0.8666666666666667,7.065284681320191,8769.316666666668,177.96666666666667,8947.283333333333,0.001100673216666665,0.7833333333333333,0.21666666666666667,60
wisdm,FF_NO_PRUNING,0.8833333333333333,6.077036662896474,9018.983333333334,157.2,9176.183333333332,0.0011436337499999983,0.7833333333333333,0.21666666666666667,60
