baseline,query_type,mean,std,n
FLASH_FUSION_CACHE,Direct,1.5667107585403655,0.9776447005970514,9
AUTOIOT_PAPER,Direct,108.91096345701337,16.3841756507109,9
REACT_ONLY,Direct,11.174408629536629,6.29466325408772,9
FLASH_FUSION_CACHE,Reasoning,3.135040670633316,1.440561628507711,9
AUTOIOT_PAPER,Reasoning,166.98265946949797,24.985932676943413,9
REACT_ONLY,Reasoning,13.114990580413076,7.794887948977718,9
FLASH_FUSION_CACHE,Predictive,7.605085303386052,8.138249883996657,9
AUTOIOT_PAPER,Predictive,273.5604209930785,72.2319045240007,9
REACT_ONLY,Predictive,63.16304066280524,59.73096976556581,9
FLASH_FUSION_CACHE,Out-of-Scope,1.650468995173772,1.0334787841898951,9
AUTOIOT_PAPER,Out-of-Scope,250.76486302508667,113.74991375975394,9
REACT_ONLY,Out-of-Scope,4.260200396180153,3.536540655246953,9
