baseline,query_type,runs_n,accuracy_raw,accuracy_raw_std,latency_s,latency_s_std,input_tokens,input_tokens_std,output_tokens,output_tokens_std,cost_usd,cost_usd_std,accuracy_percent,accuracy_percent_std
FF_FULL,Predictive,3,1.0,0.0,0.168208380540212,0.04405753520117161,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
FF_FULL,Direct,3,1.0,0.0,5.6783063014348345,0.29787724979776137,5403.833333333333,9.814954576223704,218.66666666666666,21.746168244850253,0.001710827083333325,0.0002904781776083187,100.0,0.0
FF_FULL,Reasoning,3,0.9166666666666666,0.14433756729740646,7.912270645300548,0.8887869352939317,8217.833333333334,82.56108849411636,333.3333333333333,13.500771582888639,0.002592306249999958,0.0007396615472558781,91.66666666666666,14.433756729740645
FF_FULL,Out-of-Scope,3,1.0,0.0,4.607615252335866,0.9220087134698787,5941.5,1414.2194843799882,185.33333333333334,41.291897913916884,0.0015984830000000002,0.0005233930359913571,100.0,0.0
FF_FULL,Extra-Hard,3,0.75,0.0,8.832521279652914,0.661713084370926,10323.583333333334,1.5877132402717333,444.25,27.24311839712921,0.002712000333333292,0.00012850059477813148,75.0,0.0
FF_NO_CACHE,Predictive,3,1.0,0.0,5.193071881930034,0.36239009267446964,4967.25,0.0,272.5,0.0,0.002246439,0.0,100.0,0.0
FF_NO_CACHE,Direct,3,1.0,0.0,2.5507798989613852,0.036886484528565966,4363.0,0.0,87.25,0.0,0.0014431365,0.0,100.0,0.0
FF_NO_CACHE,Reasoning,3,1.0,0.0,3.999379813671112,0.25169681911232755,6712.75,0.0,191.0,0.4330127018922193,0.0020385885,1.6887495373796104e-06,100.0,0.0
FF_NO_CACHE,Out-of-Scope,3,1.0,0.0,2.275544822216034,0.23175355922020605,6139.25,0.0,59.083333333333336,1.2829003598617201,0.001470781,5.003311403460682e-06,100.0,0.0
FF_NO_CACHE,Extra-Hard,3,0.75,0.0,5.779479682445526,0.18455874261526073,8162.0,0.0,309.1666666666667,4.303583777891777,0.002625467,1.6783976733778254e-05,75.0,0.0
FF_NO_PROMPT,Predictive,3,1.0,0.0,5.146894176801045,0.29065376406045723,2099.25,0.0,269.0,0.0,0.00208121875,0.0001249393199404716,100.0,0.0
FF_NO_PROMPT,Direct,3,1.0,0.0,2.4110294580459595,0.20843429863720886,1949.0,0.0,82.08333333333333,3.608439182435163,0.00136244225,0.00023533850636410421,100.0,0.0
FF_NO_PROMPT,Reasoning,3,0.6666666666666666,0.3818813079129867,5.29403950770696,0.9836783859128159,2486.5833333333335,162.52410077687958,171.58333333333334,4.274439534410716,0.0020612604999999916,0.00042717732818702605,66.66666666666666,38.18813079129867
FF_NO_PROMPT,Out-of-Scope,3,1.0,0.0,2.111797511577606,0.12370593802796517,2111.25,0.0,56.083333333333336,0.5773502691896263,0.0013548697500000001,0.0003625628821358958,100.0,0.0
FF_NO_PROMPT,Extra-Hard,3,0.3333333333333333,0.14433756729740646,8.372033655643463,0.8704913208067109,2884.9166666666665,166.13253995931478,301.6666666666667,13.156113914577265,0.0026573429999999913,0.00016345920798473075,33.33333333333333,14.433756729740645
FF_NO_PRUNE,Predictive,3,1.0,0.0,5.50624140103658,0.32546078700211734,9850.25,0.0,272.3333333333333,0.288675134594817,0.002626663,1.1258330249199697e-06,100.0,0.0
FF_NO_PRUNE,Direct,3,1.0,0.0,2.575005213419596,0.154077194539037,9802.25,0.0,87.25,0.0,0.001867398,0.0,100.0,0.0
FF_NO_PRUNE,Reasoning,3,0.75,0.25,4.294996062914531,0.42587497360970566,9813.0,0.0,191.25,0.8660254037844386,0.002281383,3.3774990747593147e-06,75.0,25.0
FF_NO_PRUNE,Out-of-Scope,3,1.0,0.0,2.3203837474187217,0.026024576585732876,9800.75,0.0,55.833333333333336,1.5877132402714704,0.001743703,6.1920816370586915e-06,100.0,0.0
FF_NO_PRUNE,Extra-Hard,3,0.8333333333333334,0.14433756729740646,4.7963268756866455,0.3863390440634182,9831.5,0.0,254.91666666666666,10.106722185423589,0.0025441129999999998,3.9416216523151964e-05,83.33333333333334,14.433756729740645
