Baseline,Predictive_mean,Predictive_std,Direct_mean,Direct_std,Reasoning_mean,Reasoning_std,Out-of-Scope_mean,Out-of-Scope_std,Extra-Hard_mean,Extra-Hard_std
FF_FULL,100.0,0.0,100.0,0.0,91.66666666666666,14.433756729740645,100.0,0.0,75.0,0.0
FF_NO_CACHE,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,0.0
FF_NO_PROMPT,100.0,0.0,100.0,0.0,66.66666666666666,38.18813079129867,100.0,0.0,33.33333333333333,14.433756729740645
FF_NO_PRUNE,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,83.33333333333334,14.433756729740645
