Baseline,Predictive_mean,Predictive_std,Direct_mean,Direct_std,Reasoning_mean,Reasoning_std,Out-of-Scope_mean,Out-of-Scope_std,Extra-Hard_mean,Extra-Hard_std
FF_FULL,0.0,0.0,5403.833333333333,9.814954576223704,8217.833333333334,82.56108849411636,5941.5,1414.2194843799882,10323.583333333334,1.5877132402717333
FF_NO_CACHE,4967.25,0.0,4363.0,0.0,6712.75,0.0,6139.25,0.0,8162.0,0.0
FF_NO_PROMPT,2099.25,0.0,1949.0,0.0,2486.5833333333335,162.52410077687958,2111.25,0.0,2884.9166666666665,166.13253995931478
FF_NO_PRUNE,9850.25,0.0,9802.25,0.0,9813.0,0.0,9800.75,0.0,9831.5,0.0
