run_id,baseline,gt_score,latency_s,cost_usd,input_tokens,output_tokens
1,FF_FULL,0.95,8.682598268985748,0.00160106735,3968.7,219.6
1,FF_NO_CACHE,0.9,5.667896580696106,0.0023751624,4936.95,167.45
1,FF_NO_PROMPT,0.75,8.57225433588028,0.00167540295,1485.55,204.55
1,FF_NO_PRUNE,0.9,7.2958684206008915,0.001746459,9199.95,176.7
2,FF_FULL,1.0,7.564634621143341,0.0015325244499999999,5022.6,252.2
2,FF_NO_CACHE,1.0,4.90755865573883,0.0016178877000000002,4936.95,167.65
2,FF_NO_PROMPT,0.85,7.0158331274986265,0.00152351355,1485.55,193.95
2,FF_NO_PRUNE,0.85,5.070551013946533,0.001708512,9177.05,171.55
3,FF_FULL,0.9,6.730981290340424,0.0017404349999999998,5014.75,250.6
3,FF_NO_CACHE,1.0,5.624993884563446,0.0018651847499999998,4961.6,182.05
3,FF_NO_PROMPT,0.9,7.389639902114868,0.00157857375,1509.0,206.45
3,FF_NO_PRUNE,0.9,5.094125461578369,0.001705782,9177.05,170.85
