query_type,mean,std,n_runs,metric
Direct,0.03899206883377493,0.02881426299068055,9,execution_s
Direct,0.2530145428246922,0.050224538005144356,9,grounding_s
Direct,2.020532755719291,0.3986515630228643,9,planning_s
Direct,2.5655539102024503,0.525617324707243,9,total_latency_s
Direct,0.2530145428246922,0.050224538005144356,9,validation_s
Reasoning,0.28489978114763886,0.2751156638257579,9,execution_s
Reasoning,0.401590658724308,0.0534193633595963,9,grounding_s
Reasoning,3.2114544259177316,0.42739724224988823,9,planning_s
Reasoning,4.299535524513987,0.5800382044356496,9,total_latency_s
Reasoning,0.401590658724308,0.0534193633595963,9,validation_s
Predictive,3.310850635998779,3.0445375359823905,9,execution_s
Predictive,0.33748943855365116,0.05611062282314993,9,grounding_s
Predictive,2.6986197522944875,0.44867443855403083,9,planning_s
Predictive,6.684449265400569,2.602508836681199,9,total_latency_s
Predictive,0.33748943855365116,0.05611062282314993,9,validation_s
Out-of-Scope,7.4417226844341e-05,3.0925796097354034e-05,9,execution_s
Out-of-Scope,0.22574591288963955,0.012276392635466966,9,grounding_s
Out-of-Scope,1.8054463825292058,0.09807809624054377,9,planning_s
Out-of-Scope,2.2570126255353293,0.12264984788432735,9,total_latency_s
Out-of-Scope,0.22574591288963955,0.012276392635466966,9,validation_s
Extra-Hard,0.6807620036933157,0.7146225699856925,9,execution_s
Extra-Hard,0.5389010682702065,0.05060688582729621,9,grounding_s
Extra-Hard,4.308826212253836,0.4046760395251799,9,planning_s
Extra-Hard,6.067390352487564,1.0405392900226789,9,total_latency_s
Extra-Hard,0.5389010682702065,0.05060688582729621,9,validation_s
