System/Ablation,baseline,Accuracy (%),Latency (s),Cost ($ x 10^-5),Rows,Query IDs
Flash-Fusion,FLASH_FUSION_CACHE,93.3333,4.2773,57.9281,180,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
- cache,FLASH_FUSION,93.8889,5.3478,176.5677,180,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
- prune,FF_NO_PRUNE,87.7778,5.5173,182.3147,180,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
- prompt,FF_NO_PROMPT,74.4444,5.5879,151.6974,180,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
